Gondi Word	Phonetic	Part of Speech	Telugu Meaning	English Meaning	Hindi Meaning	Ex 1 Gondi	Ex 1 Telugu	Ex 1 English	Ex 1 Hindi	Ex 2 Gondi	Ex 2 Telugu	Ex 2 English	Ex 2 Hindi	Ex 3 Gondi	Ex 3 Telugu	Ex 3 English	Ex 3 Hindi
విట్టడ్	/viṭṭaḍ/		సూత్కం			రోన్ చెపుల్క్ నెహ్తెకె విట్టడ్ ఇంతెర్.	ఇంటిలోకి చెప్పులతో వెలితే సూత్కం అంటారు.										
విడ్క్‌వడ (పార్కత్)	/viḍkvaḍa (pārkat)/	n	విడాకులు	divorce	तलाक												
విడ్య	/viḍya/	n	అరక లో విడ్య	metal collar to attach the blade of an agricultural implement		వక్కుర్ కొయ్యతగ విడ్య మందంత.	అరక కొయ్యలో విడ్య ఉంటుంది.										
విత్-	/vit-/		పరుగు పెడుతుంది	running		లొల్లి కీతెకె మొల్లొల్ పేసిసి విత్తంత.	అల్లరి చేస్తే కుందేలు పరుగు పెడుతుంది.										
విద్రింగ్	/vidriṅg/	n	విత్తనాలు వేసే టప్పుడు పూజ చేస్తారు	agricultural festival which takes place before sowing (pl.)		విద్రింగ్ దొస్సి వావ్టె విజ్జ వాటంతెర్.	విద్రిలు చేసి విత్తనాలు విత్తుతారు.										
వినతి	/vinati/	pron	మనవి	request	निवेदन; विनती	నాకున్ పోలిస్ నొవ్కరి వాయన ఇంజెర్ పేన్దున్ వినతి కీంతొన్.	నాకు పోలిసు ఉద్యోగం రావాలని నేను దేవున్ని మనవి చేస్తున్నాను.										
వియర్	/viyar/	n	చెత్త	rubbish		బెయె రోత వియర్ సియ్సెర్ మంత.	అమ్మ ఇంటి చెత్త ఊడుస్తూంది.										
వియ్యడ కుప్ప	/viyyaḍa kuppa/		చెత్త కుప్ప	dust heap		వియ్యడున్ కుప్ప కీసివాడి సియన.	చెత్తను ఊడ్చి కుప్ప వెయ్యాలి.										
వియ్-	/viy-/	n	విత్తడం	to transplant	प्रतिरोपित करना	జొన్న వియ్త.	జొన్న విత్తడం జరిగింది.										
విలువ దొహ	/viluva doha/		విలువ కట్టడం	valuation													
విలెకర్	/vilekar/	n	విలేఖరి	reporter	संवाददाता	విలెకర్ వార్తల్క్ మీరి కీంతొర్.	విలేఖరి వార్తలు సేకరిస్తాడు.										
విసం గాడి	/visaṁ gāḍi/		గబ్బు వాసన														
విసయ్	/visay/	n	విషయం	matter		ఉంది విసయ్ నీకున్ నన్న వెహ్వల్ మంత.	ఒక విషయం నీకు చెప్పాలి ఉంది.										
విస్వల్	/visval/	n	బంతి	ball		వంజినున్ విస్సంతెర్.	వడ్లకు బంతి కొడుతారు.										
విస్వస్	/visvas/	n	నమ్మకం	trust	विश्वास; भरोसा	నీవ మతమున్ బారెతె వెల్లె విస్వస్ మందన.	నీ మతము గురించి నీకు నమ్మకం ఉండాలి.										
విస్-	/vis-/	v	జొన్నలు వేరు చేయడం	to thresh (with bullocks)		జొ న్న పంట విస్సంతెర్ నర్క ''.	జొన్న పంట కల్లాలను ఎడ్ల బంతి కట్టుతారు.										
వీచ్	/vīc/	n	సమాది	tomb, grave		సాతొన విచ్నగ గోరి దొహ్చెర్ మంతెర్.	చనిపోయిన వారికి సమాది కడుతున్నాడు.										
వీచ్ డాగి	/vīc ḍāgi/	n	సమాది స్థలం	pile	चिता	సాతుర్కున్ మిస్వల్ జాగతున్ వీచ్ డాగి ఇంతెర్.	చనిపోయిన వారిని ఉంచే స్థలాన్ని సమాది స్థలం అంటారు.										
వీడ	/vīḍa/	v	దాటు	pass		సడక్ విడ్నెనెకె సూడ్సెర్ వీడన.	దారి దాటేటప్పుడు చూసుకుంటూ దాటు.										
వీడాకివేలి	/vīḍākivēli/	n	తమల పాకు	betel nut tree		వీడాకి చున్న కాత్ మిసిడి కీసి తింతెర్.	తమల పాకు సున్నం కలుపుకొని తింటారు. .										
వీడుసీమ్	/vīḍusīm/	v	దాటించు	make it to cross	पार करा	ఊసతల్ వీడుసీమ్.	వాగు దాటించు.										
వీర్	/vīr/		వీరు	they, these (m.)	आप3नजदीक	వీర్ బచ్విర్.	వీరు ఎంత మంది.										
