Gondi Word	Phonetic	Part of Speech	Telugu Meaning	English Meaning	Hindi Meaning	Ex 1 Gondi	Ex 1 Telugu	Ex 1 English	Ex 1 Hindi	Ex 2 Gondi	Ex 2 Telugu	Ex 2 English	Ex 2 Hindi	Ex 3 Gondi	Ex 3 Telugu	Ex 3 English	Ex 3 Hindi
వొప్నల్	/vopnal/	adj	ఒప్పుకోతగిన	allowable		నన్ వెహ్త కామ్ బాపురావు వొప్పనుర్ కి.	నేను చెప్పిన పని బాపురావు ఒప్పుకుంటాడా.										
వొప్పుస	/voppusa/	v	ఒప్పించు	commit	सौंप; सुपुर्द कर; हवाले कर	నీవ నిమ్మెయ్ వొప్పుస.	నీది నీవు ఒప్పుకో.			నన్న వానల్ వేరి బేకెన్ సొన్వ ఇంజెర్ వొప్పుస.	నేను వచ్చేవరకు ఎక్కడికీ వెల్లవద్దు అని ఒప్పించు.						
వొమ్వల్	/vomval/		విక్రయం	dealing	व्यापार; तिजारत	రోతంగ్ తిన్వలిక్ సామన్క్ బస్కెన్ వొమ్వ.	ఇంట్లో తినే వస్తువులను ఎప్పుడు విక్రయం చెయ్యవద్దు.										
వొమ్వల్ వాలె	/vomval vāle/	n	అమ్మేవాడు	vendor		కేరెంగ్ వొమ్వల్ వాలె మాయ్నల్ సమ్దిర్కున్ వొడ్కి ఆతొర్.	అరటి పండ్లు అమ్మే వాడు అందరికి తెలిసిపోయాడు.										
వొర్కె	/vorke/	n	ప్రక్కకు	to the side													
వొర్చి కీమ్	/vorci kīm/	n	ఓర్చుకోవడం	enduring		బతయ్ మని కామ్ కీనెకె వొర్చి కీమ్.	ఏదైన పని చేసేటప్పుడు ఓర్చుకోవాలి.										
వొర్తెకె నాంద్	/vorteke nānd/	n	పేలుడు ధ్వని	make the sound of an explosion		బామ్ వొర్తెకె నాంద్ కేంజ వాంత.	బాంబు పగిలితే ధ్వని వస్తుంది.										
వొర్సొనె	/vorsone/	adv	ఒకే సారి	at the same time, all at once	एकी बार	నిమ్మెట్ సమ్దిర్ వొర్సొనె వాతిట్!	మీరు అందరూ ఒకే సారి వచ్చారా!	You all came at the same time!									
వొల్	/vol/	adv	దాగుట	sheltered													
వొల్సి	/volsi/		దాక్కొని			కొర్ గూడతగ వొల్సి మంత.	కోడి గూడులో దాక్కుంది.										
వొహ	/voha/	v	పేల్చు	blast		దివాడిత పండుగున్క్ పటెకంగ్ వొహ.	దీపావళి పండుగకు బాణ సంచులు పేల్చు.										
వొహొ	/voho/	n	పాలు గ్రంధి	udder		మూర వొహొ కీసి మంత.	ఆవు ఈనడానికి తయారు ఉంది.										
వొహొ కీత	/voho kīta/		పాలు పెరిగినాయి			మూర వహన్ సాటి వొహొ కీత.	ఆవు ఈనడానికి పాలు పేరినాది.										
