Gondi Word	Telugu Meaning
बोतता पिंडेम	గర్భంలొనీ పిండెం
गलमा पिड़पू	గల్మ తడక
गंजय	గంజయ్
सोंगा(गंजय उनानद)	గంజాయి త్రాగె గొట్టము
गंज	గంజు
पशुल्‍कुना गंटा	గంట
गंदक	గంధకము
तट्टा	గంప
गैस	గ్యస్
पाट्लाल	గ్రామ పెద్ద మనిషి
आकि-पेन	గ్రామదేవత
नार	గ్రామము
जीरका होन्‍मड़	గ్రుచుడము
मेंज	గ్రుడ్డు
मेस्क	గ్రుడ్లు
गिलास	గ్లాసు
ग्‍लिसिरिन	గ్లిసిరిన్
गाजी	గాజు
गाजुल पुडी	గాజులపురుగు
गाड्‍दी पोरी	గాడది పిల్ల
गाड्‍दी	గాడిది
गार्का	గారెలు
गालम पुडी	గాలమ్ పురుగు
गालम	గాలము
वड़ी	గాలి
पतंग	గాలి పటం
दुमारम	గాలి వాన
किस्कुड	గిచ్చుట
कटोरी	గిన్నె
गिन्ने	గిన్నెలు
गिर्का	గిర్క
गिर्दवार	గిర్దవార్
गिल्‍ले पुडि	గిల్లె పురుగు
पेडे	గింజ
गोडाचुक	గింతంత
मेट्टा	గుట్ట
गुड्डि	గుడ్డి
गुड्डी कोंगा	గుడ్డి కొంగ
गुड्‍डूक पेल्‍कमड़	గుడ్లు ఎర్గాడము
गुग्रीं	గుడాలు
गुड्से	గుడిసె
गुत्ति	గుత్తి
पॆंडा	గుద్ద
गुबुर	గుబురు
गुमड़काया	గుమ్మడి కాయ
गुम्मी	గుమ్మి
जमा आयमड़	గుమికూడారు
जाड़ा	గుర్తు
एरपाट मन्‍मड	గుర్తు ఉండడము
एरपाट कियमड़	గుర్తు పెటడము
एर्का	గుర్తు/జ్ఞపకము
गुर-गुर इन्‍मड़	గుర్రడము
गुर्रम	గుర్రము
गुर्रम पोरी	గుర్రుం పిల్ల
गुर्रम पुडी	గుర్రుం పురుగు
तट्टा	గుల్ల
गुव्‍वा	గువ్వ పిట్టె
बुयारम	గుహ
गुंजा	గుంజ
गुंटुक	గుంటుకు
गुंडुर्गा कियमड़	గుండ్రుగ చెయటము
गिरा-गिरा	గుండ్రుగా
गुंडिंग	గుండిలు
गुंडे काया	గుండె కాయ
गुंपु-गुंपु मन्‍मड़	గుంపుగ ఉండటము
गूटे	గూటె
गूडाते	గూడలొ
गूपा पिट्टे	గూడ్లగుబ్బ
गूडाते मींड़मड़	గూడాలొ పండకొవటము
सिन्ने नार	గూడెము
गूनोड	గూనివాడు
गूबा	గూబా
गेल्‍सुडु	గెల్వడము
गोट्टे मरा	గొట్టె చెట్టు
जगडम	గొడవ
मरसू	గొడ్డలి
नोहकुता कारम	గొడ్డుకారము
गूरे	గొడా
कुदुर डोक्‍के	గొడా బల్లి
सेत्तिरि	గొడుగు
गोह्क	గొదుమలు
गोर्रु	గొర్రు
गोर्रे	గొర్రె
गोर्रे पोतु	గొర్రె పొతు
गोर्रेना मंदा	గొర్రెల మందా
गोल्‍लाबामा	గొల్లబామా
गोल्लल	గొల్లవాడు
गोल्‍सु	గొల్సు
गोंगोडि	గొంగడి
गोंड्रुंमड़	గొండ్రడము
बोंडके	గొందిక్య
कूल्‍हुड	గోకుట
गज्जि	గోకుడు
वीच/बोंदा	గోరి
गॊरु	గోరు
गोलि	గోళి
गोसी	గోసీ
कोया	గోండి
कोया बाषा	గోండి భాష
गारे	చక్రం
हद्वुमड़	చదవడము
सप्‍पगा	చప్పగా
सप्‍पगा	చప్పనైన
सेमटा काया	చమటకాయ
तॊल	చర్మము
सल्‍लगा	చల్ల
सल्‍लटद	చల్లటి
सल्‍लटा(एरु)	చల్లటి (నీరు)
सल्‍लगा आयमड़	చల్లబడింది
आरुडु	చల్లరింది
पीनि	చలి
पीनि कालम	చలికాలము
मरा बॊलु	చలిమంటవేసేచోటు
संका	చంక
वॆडसी	చంద్రుడు
हव्‍कुडु	చంపు
रोम बोच्‍चे	చాతి
इरगा	చాల
एक्‍को	చాల/బాగా
वेल्‍लेन	చాలా ఎక్కువ
